Designator,Mid X,Mid Y,Rotation,Layer
C1,90.424,-114.808,0.0,top
C10,145.288,-113.525,90.0,top
C11,129.819922,-112.967,90.0,top
C12,144.513,-119.38,0.0,top
C13,99.568,-87.376,90.0,top
C14,99.568,-90.932,90.0,top
C15,133.375918,-112.967,90.0,top
C16,85.852,-92.964,90.0,top
C17,99.568,-94.488,90.0,top
C18,143.764,-125.21,90.0,top
C19,126.315754,-112.967,270.0,top
C2,90.424,-113.284,0.0,top
C20,115.316,-78.347,270.0,top
C21,110.744,-76.541621,270.0,top
C22,159.004,-124.968,90.0,top
C23,146.304,-77.724,270.0,top
C24,122.707918,-112.967,270.0,top
C25,134.112,-78.74,270.0,top
C26,129.54,-77.557621,270.0,top
C27,150.876,-78.74,270.0,top
C28,136.652,-64.25,270.0,top
C29,129.032,-64.732041,270.0,top
C3,112.692,-114.134,0.0,top
C30,107.86238,-66.04,180.0,top
C31,106.68,-70.612,180.0,top
C32,99.568,-125.984,90.0,top
C33,97.536,-125.984,90.0,top
C34,93.98,-79.756,0.0,top
C35,85.344,-121.92,270.0,top
C36,84.836,-127.241,90.0,top
C37,89.408,-75.184,180.0,top
C38,101.867,-74.676,180.0,top
C39,74.676,-121.92,270.0,top
C4,116.332,-111.428,270.0,top
C40,72.644,-122.043,270.0,top
C41,86.868,-67.73038,90.0,top
C42,82.296,-67.564,90.0,top
C5,108.204,-116.84,225.0,top
C6,107.051505,-115.602292,225.0,top
C7,101.6,-103.632,180.0,top
C8,96.52,-104.14,225.0,top
C9,93.590127,-114.746688,135.0,top
D1,112.776,-115.824,0.0,top
D10,150.368,-99.568,0.0,top
D11,156.972,-66.04,270.0,top
D12,139.947,-65.532,0.0,top
D13,120.396,-67.056,90.0,top
D14,104.14,-125.234,180.0,top
D15,96.012,-70.612,180.0,top
D2,93.655,-84.424,90.0,top
D3,91.1785,-84.424,90.0,top
D4,88.702,-84.424,90.0,top
D5,113.918,-99.568,0.0,top
D6,112.268,-83.186,0.0,top
D7,132.603326,-83.434109,0.0,top
D8,132.588,-99.568,0.0,top
D9,150.422294,-83.660962,0.0,top
J1,73.152,-96.027,0.0,top
J2,98.816,-121.92,90.0,top
J3,73.152,-105.41,0.0,top
J4,166.116,-85.344,90.0,top
J5,166.116,-69.088,90.0,top
L1,96.012,-65.024,180.0,top
Q1,119.889,-79.165,90.0,top
Q2,119.889,-94.913,90.0,top
Q3,138.685,-79.165,90.0,top
Q4,138.685,-94.913,90.0,top
Q5,156.465,-79.165,90.0,top
Q6,156.465,-94.913,90.0,top
Q7,147.828,-68.072,0.0,top
R1,87.376,-114.808,0.0,top
R10,142.24,-113.525,270.0,top
R11,143.764,-116.573,270.0,top
R12,143.764,-113.525,90.0,top
R13,161.544,-116.84,270.0,top
R14,164.592,-116.84,270.0,top
R15,160.02,-116.84,270.0,top
R16,128.016,-112.967,90.0,top
R17,163.068,-116.84,90.0,top
R18,158.496,-116.84,90.0,top
R19,85.838,-82.804,0.0,top
R2,87.376,-113.284,0.0,top
R20,131.572,-112.967,90.0,top
R21,139.7,-124.46,0.0,top
R22,142.24,-121.729,90.0,top
R23,145.288,-121.729,90.0,top
R24,145.288,-125.21,90.0,top
R25,143.764,-121.729,270.0,top
R26,142.24,-125.21,270.0,top
R27,124.511836,-112.967,90.0,top
R28,113.475,-101.6,180.0,top
R29,111.443,-85.218,180.0,top
R3,116.015,-115.824,0.0,top
R30,116.523,-101.6,0.0,top
R31,114.491,-85.218,0.0,top
R32,124.968,-102.616,0.0,top
R33,159.004,-121.412,270.0,top
R34,160.528,-121.412,270.0,top
R35,164.592,-124.218,180.0,top
R36,162.052,-124.968,90.0,top
R37,162.052,-121.412,90.0,top
R38,132.08,-85.852,180.0,top
R39,131.763,-101.6,180.0,top
R4,105.156,-118.364,180.0,top
R40,160.528,-124.968,270.0,top
R41,135.128,-85.852,0.0,top
R42,135.002,-101.6,0.0,top
R43,143.764,-102.616,0.0,top
R44,143.256,-107.188,0.0,top
R45,120.904,-112.967,90.0,top
R46,149.914294,-85.692962,180.0,top
R47,149.86,-101.6,180.0,top
R48,152.962294,-85.692962,0.0,top
R49,152.908,-101.6,0.0,top
R5,105.664,-77.597,180.0,top
R50,161.544,-102.616,0.0,top
R51,139.192,-63.5,180.0,top
R52,101.6,-125.984,270.0,top
R53,89.408,-77.216,0.0,top
R54,89.408,-78.74,180.0,top
R55,86.36,-75.184,180.0,top
R56,101.917,-77.724,0.0,top
R57,86.868,-121.92,270.0,top
R58,89.916,-72.644,270.0,top
R59,88.392,-72.644,90.0,top
R6,105.664,-79.248,0.0,top
R60,80.264,-67.564,90.0,top
R7,142.24,-116.573,90.0,top
R8,139.7,-114.275,0.0,top
R9,145.288,-116.573,90.0,top
TP1,108.712,-112.776,0.0,top
TP2,94.488,-112.268,0.0,top
TP3,74.168,-91.948,0.0,top
TP4,76.0984,-91.948,0.0,top
TP5,78.0288,-91.948,0.0,top
TP6,83.82,-91.948,0.0,top
TP7,81.8896,-91.948,0.0,top
TP8,79.9592,-91.948,0.0,top
TP9,91.948,-107.188,0.0,top
U1,101.656,-110.49,180.0,top
U2,152.4,-119.38,0.0,top
U3,91.44,-90.932,0.0,top
U4,96.012,-75.692,180.0,top
U5,91.948,-124.968,270.0,top
U6,79.756,-124.968,270.0,top
Y1,113.2,-111.594,180.0,top
key_1,80.772,-113.284,0.0,top
reset1,80.772,-108.712,0.0,top
